Application,Timestamp,Description,Dimensions,Reference Frame,Proximity,Target Type,Interactor,Indication,Confirmation,Outcome
Hitman 3,https://youtu.be/2Sq5HgEZh0E?si=XPB1ZC0tbDy_v6U2&t=233 ,4. Insert item to on-body inventory,3D,Torso,On-Body,Storage unit,Handheld object,Intersecting,Analog - Release,System control
Hitman 3,https://www.youtube.com/live/1f6HhkhvxD8?si=T7O4stYrJ-kpsiHx&t=292,5. Attack enemy with handheld,3D,Environment,Peripersonal,Avatar,Handheld object,Intersecting,Automatic,System control
Hitman 3,https://www.youtube.com/live/1f6HhkhvxD8?si=xkEwHLuHI0RV548Q&t=480,6. Aim at a target and shoot,3D,Environment,Extrapersonal,Avatar,Ray - Invisible,Aiming - Shooting,Analog - Click,System control
Backrooms VR,https://youtu.be/CCc5xfFiz8k?t=466 ,3. Point and Select from a close by head-referenced UI,2D,Head,On-Body,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Backrooms VR,https://youtu.be/W5EmG1Ky5jI?si=2j4t2NOMRu0tXbso&t=44,5. Selecting from 2D UI,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Backrooms VR,https://youtu.be/5QOgfsfQfiU?si=wGfLs7TJEDrcXMUd&t=993,6. Select a key hole from multipe ones to insert a key,3D,Environment,Peripersonal,Storage unit,Handheld object,Intersecting,Analog - Release,System control
Backrooms VR,https://youtu.be/5QOgfsfQfiU?si=A8xXgcbb31kBsUsQ&t=1065,7. Select from 2D torso inventory,2D,Torso,On-Body,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Continued Press,Acquisition
Resident Evil Village,https://youtu.be/t_ywsdznMLk?t=63,2. Select from a UI menu at a distance,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Resident Evil Village,https://youtu.be/t_ywsdznMLk?t=158,3. Select a target to aim at and shoot,3D,Environment,Extrapersonal,Avatar,Ray - Invisible,Aiming - Shooting,Analog - Click,System control
Resident Evil Village,https://youtu.be/t_ywsdznMLk?t=177,4. Throw a knife at enemies,3D,Environment,Extrapersonal,Avatar,Handheld object,Aiming - Throwing,Analog - Release,System control
Resident Evil Village,https://youtu.be/t_ywsdznMLk?t=199,5. Select tools/weapons from on-body inventory,3D,Torso,On-Body,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Resident Evil Village,https://youtu.be/t_ywsdznMLk?t=316,6. Select an area on an avatar/enemy to land a punch,3D,Environment,Peripersonal,Avatar,Virtual hand,Intersecting,Automatic,System control
Resident Evil Village,https://youtu.be/zfflZevr_UM?si=VrTKYlm7JJig4XKO&t=34409,7. Hit enemy with handheld object,3D,Environment,Peripersonal,Avatar,Handheld object,Intersecting,Automatic,System control
Resident Evil Village,https://youtu.be/IXu1CnfoY3o?t=165,8. Select targets to destroy (slicing boxes),3D,Environment,Peripersonal,3D Object,Handheld object,Intersecting,Automatic,System control
Resident Evil Village,https://youtu.be/zfflZevr_UM?si=Yv4SxcnCU6aA998p&t=14624,9. Use handle to unlock,3D,Environment,Peripersonal,Discrete configuration,Handheld object,Discrete manipulation,Automatic,System control
Devour,https://youtu.be/SOn1teeApmY?t=55 ,1. Selecting from a UI at a distance,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Devour,https://youtu.be/SOn1teeApmY?si=H_eQ3EdwPTE1qRMp&t=900 ,2. Select a target enemy to point to with a cone volume UV light to kill or slow down,3D,Environment,Extrapersonal,Avatar,Ray - Visible,Pointing - Hand ray,Automatic,System control
Devour,https://youtu.be/SOn1teeApmY?t=1285 ,5. Dwell over teammate to heal,3D,Environment,Peripersonal,Avatar,Handheld object,Intersecting,Dwell,System control
REC Room,https://youtu.be/nK1WOUiwiF4?t=363 ,1. Grasp objects directly from the VE,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
REC Room,https://youtu.be/nK1WOUiwiF4?t=67 ,2. Grasp a hand for greeting other players,3D,Environment,Peripersonal,Avatar,Virtual hand,Intersecting,Dwell,System control
REC Room,https://youtu.be/nK1WOUiwiF4?si=kHAHvKiGZIcsgQ91&t=289,5. Throw selected objects towards selected targets or area ,3D,Environment,Extrapersonal,Avatar,Handheld object,Aiming - Throwing,Analog - Release,System control
REC Room,https://youtu.be/nK1WOUiwiF4?si=xfX3g1fms5LWUuZa&t=225,6. Select from a closeby UI by pressing buttons,2D,Environment,Peripersonal,UI Element,Virtual hand,Intersecting,Automatic,System control
REC Room,https://youtu.be/nK1WOUiwiF4?si=TNA5URghGV-OTnqR&t=303,7. Select a target to aim at and shoot ,3D,Environment,Extrapersonal,Avatar,Ray - Invisible,Aiming - Shooting,Analog - Click,System control
REC Room,https://youtu.be/nK1WOUiwiF4?t=1157 ,8. Selecting an object from a circular layout,3D,Environment,Extrapersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
REC Room,https://youtu.be/nK1WOUiwiF4?t=637 ,9. Selecting a body area to put an object or wearable on,3D,Head,On-Body,Storage unit,Handheld object,Intersecting,Analog - Release,System control
REC Room,https://youtu.be/nK1WOUiwiF4?t=643 ,10. Selecting from on hand UI,2D,Hand,On-Body,UI Element,Virtual hand,Intersecting,Automatic,System control
REC Room,https://youtu.be/nK1WOUiwiF4?si=5wa9Zgg6OqU4xNZa&t=1159,11. Point to objects at a distance,3D,Environment,Extrapersonal,3D Object,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
REC Room,https://youtu.be/nK1WOUiwiF4?t=1048 ,12. Selecting from a UI at a distance,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Golf It!,https://youtu.be/CT5wMo6Spf4?t=39,1. Selecting Items on a menu,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Golf It!,https://youtu.be/CT5wMo6Spf4?si=fxyOTHagZt8WH6NL&t=88,2. Hit a golf ball ,3D,Environment,Peripersonal,3D Object,Handheld object,Intersecting,Automatic,System control
Derail Valley,https://youtu.be/fjks0MAVAQ4?t=51 ,2. Touch and click to press switches,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Click,System control
Derail Valley,https://youtu.be/fjks0MAVAQ4?t=217 ,5. Throw objects at locations,3D,Environment,Extrapersonal,3D Object,Handheld object,Aiming - Throwing,Analog - Release,System control
Derail Valley,https://youtu.be/AVJpyQa1alA?si=ZHXapuRiX9bQ3NPK&t=366,7. Point-based UI,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Swordsman VR,https://youtu.be/F2iriqT40eg?t=209,1. Game settings UI,2D,Environment,Peripersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Swordsman VR,https://youtu.be/F2iriqT40eg?t=32,2. Head-referenced UI that follows user's head,2D,Head,On-Body,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Swordsman VR,https://youtu.be/F2iriqT40eg?t=83,3. Attacking enemy avatar with sword,3D,Environment,Peripersonal,Avatar,Handheld object,Intersecting,Automatic,System control
Swordsman VR,https://youtu.be/dYvKUVLuwA8?si=FTXzyq0a8BoHUpOg&t=72,5. Shoot enemies with a bow,3D,Environment,Extrapersonal,Avatar,Ray - Invisible,Aiming - Shooting,Analog - Release,System control
Batman: Arkham VR,https://youtu.be/g0zBx1KiUU0?t=235,1. Directly picking up items in environment,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Batman: Arkham VR,https://youtu.be/g0zBx1KiUU0?t=334,2. Inserting items into slots,3D,Environment,Peripersonal,Storage unit,Handheld object,Intersecting,Analog - Release,System control
Batman: Arkham VR,https://youtu.be/g0zBx1KiUU0?si=RzvibBDolDzUo3bp&t=497,4. Touching piano keys (and buttons),3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Automatic,System control
Batman: Arkham VR,https://youtu.be/g0zBx1KiUU0?t=635,6. Grabbing tools from on-body slots,3D,Torso,On-Body,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Batman: Arkham VR,https://youtu.be/g0zBx1KiUU0?t=637,7. Throwing items at targets,3D,Environment,Extrapersonal,3D Object,Handheld object,Aiming - Throwing,Analog - Release,System control
Batman: Arkham VR,https://youtu.be/g0zBx1KiUU0?t=1043,8. Aiming a pull gun at objects at distance ,3D,Environment,Extrapersonal,3D Object,Ray - Invisible,Aiming - Shooting,Analog - Click,System control
Batman: Arkham VR,https://youtu.be/g0zBx1KiUU0?t=1135,9. Rotate the FM radar to select a different radio station,3D,Environment,Peripersonal,Discrete configuration,Handheld object,Discrete manipulation,Automatic,System control
Batman: Arkham VR,https://youtu.be/g0zBx1KiUU0?si=Gy7m5JkOqJBTVjhW&t=1236,10. Touch a flat UI display to select an item,2D,Environment,Peripersonal,UI Element,Virtual hand,Intersecting,Automatic,System control
Batman: Arkham VR,https://youtu.be/g0zBx1KiUU0?t=1715,11. Pressing a virtual 3D button to select a vehicle,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Press-in motion,System control
Batman: Arkham VR,https://youtu.be/g0zBx1KiUU0?t=1887,"12. Point cone, press and dwell to reveal more information",3D,Environment,Extrapersonal,3D Object,Ray - Visible,Pointing - Hand ray,Dwell,System control
Batman: Arkham VR,https://youtu.be/g0zBx1KiUU0?t=2401,13. Select targets by dwelling with gaze,3D,Environment,Extrapersonal,Avatar,Ray - 2D Cursor,Pointing - Head gaze,Dwell,System control
Batman: Arkham VR,https://youtu.be/g0zBx1KiUU0?si=Q2Qm53zbQv1aoICn&t=2546,14. Point and click on a pre-set locomotion point,3D,Environment,Extrapersonal,3D Object,Ray - Invisible,Pointing - Hand ray,Analog - Click,System control
Sniper Elite VR,https://youtu.be/ye59zBfkVI0?t=130,2. Grabbing gear from a hip pouch,3D,Torso,On-Body,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Sniper Elite VR,https://youtu.be/ye59zBfkVI0?t=240,5. Shooting at enemy avatars,3D,Environment,Extrapersonal,Avatar,Ray - Invisible,Aiming - Shooting,Analog - Click,System control
Sniper Elite VR,https://youtu.be/sb_Er-9A01E?t=102,7. Post-mission and scoreboard UI,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Sniper Elite VR,https://youtu.be/ye59zBfkVI0?t=571,8. Grasp and click to flip a page in a book-based UI,3D,Hand,On-Body,3D Object,Virtual hand,Intersecting,Analog - Click,System control
Sniper Elite VR,https://youtu.be/ye59zBfkVI0?t=588,9. Click and dwell to select a mission from the book UI,3D,Hand,On-Body,3D Object,Virtual hand,Intersecting,Dwell,System control
Sniper Elite VR,https://youtu.be/ye59zBfkVI0?t=756,10. Point and release to launch a projectile (grenade),3D,Environment,Extrapersonal,Avatar,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Sniper Elite VR,https://youtu.be/sb_Er-9A01E?t=21,13. Aiming with this pistol and laser,3D,Environment,Extrapersonal,Avatar,Ray - 2D Cursor,Pointing - Hand ray,Analog - Click,System control
Arizona Sunshine,https://youtu.be/nHJwDGUKq3A?t=111 ,1. Select an enemy or area to shoot,3D,Environment,Extrapersonal,Avatar,Ray - Invisible,Aiming - Shooting,Analog - Click,System control
Arizona Sunshine,https://youtu.be/nHJwDGUKq3A?t=990 ,4. Grasp items from inventory on hip,3D,Torso,On-Body,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Arizona Sunshine,https://youtu.be/nHJwDGUKq3A?si=Wl4CdzfyO4vioAub&t=676,7. Look and dwell to select with gaze,3D,Environment,Extrapersonal,3D Object,Ray - Invisible,Pointing - Head gaze,Dwell,System control
Arizona Sunshine,https://youtu.be/nHJwDGUKq3A?t=1267 ,8. Insert an item into env slot,3D,Environment,Peripersonal,Storage unit,Handheld object,Intersecting,Automatic,System control
Arizona Sunshine,https://youtu.be/nHJwDGUKq3A?si=H6dxklvczJkgbiB2&t=1485,10. Throw a grenade at an area or enemy,3D,Environment,Extrapersonal,3D Object,Handheld object,Aiming - Throwing,Analog - Release,System control
Contractors,https://youtu.be/ZvrZPVSuSDU?t=37,1. Press a virtual 3D button,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Press-in motion,System control
Contractors,https://youtu.be/ZvrZPVSuSDU?t=31,2. Select items from on-body slots,3D,Torso,On-Body,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Contractors,https://youtu.be/ZvrZPVSuSDU?t=48,3. Use ray to customize inventory in pop-up UI,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Contractors,https://youtu.be/aJ0BeAvRBTY?si=Nb8MEg-I_YtUnZJk&t=100,4. Throw basketball at the hoop,3D,Environment,Extrapersonal,Avatar,Handheld object,Aiming - Throwing,Analog - Release,System control
Contractors,https://youtu.be/ZvrZPVSuSDU?t=244,5. Aiming at enemy avatars,3D,Environment,Extrapersonal,Avatar,Ray - Invisible,Aiming - Shooting,Analog - Click,System control
Contractors,https://youtu.be/ZvrZPVSuSDU?t=371,6. Direct grab of objects in environment,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Contractors,https://youtu.be/ZvrZPVSuSDU?t=518,7. Plant the C4 while holding trigger in an area,3D,Environment,Peripersonal,3D Object,Handheld object,Intersecting,Dwell,System control
Contractors,https://youtu.be/ZvrZPVSuSDU?si=_bwiVA5YtHbQ86Fh&t=781,8. Grasp empty ammo mag on the weapon,3D,Hand,On-Body,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Surgineer,https://youtu.be/FkDO5NMOcyA?t=47 ,"1. Grasp objects from the VE i.e pencil, notes, etc.",3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Surgineer,https://youtu.be/FkDO5NMOcyA?t=186,2. Select from a closeby menu/task UI using touch ,2D,Environment,Peripersonal,UI Element,Virtual hand,Intersecting,Automatic,System control
Surgineer,https://youtu.be/FkDO5NMOcyA?t=189 ,3. Touch and dwell on selectable UI,2D,Environment,Peripersonal,UI Element,Virtual hand,Intersecting,Dwell,System control
Surgineer,https://youtu.be/FkDO5NMOcyA?t=1400 ,4. Press a virtual 3D button,3D,Hand,On-Body,3D Object,Virtual hand,Intersecting,Press-in motion,System control
Surgineer,https://youtu.be/essnsqPMyU4?si=8LRSUA-1wfMIwNlH&t=92,5. Intersect and grasp to pick up 3d objects (hand tracking),3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Hand Tracking - Hold gesture,Acquisition
Five Nights at Freddy's: Help Wanted,https://youtu.be/TGLPWGedIrQ?t=138,2. Touch a screen-based UI to select an item,2D,Environment,Peripersonal,UI Element,Virtual hand,Intersecting,Dwell,System control
Five Nights at Freddy's: Help Wanted,https://youtu.be/TGLPWGedIrQ?t=958,3. Touch a button in front to continue,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Automatic,System control
Five Nights at Freddy's: Help Wanted,https://youtu.be/TGLPWGedIrQ?t=162,4. Direct grab of objects in the environment,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Five Nights at Freddy's: Help Wanted,https://youtu.be/TGLPWGedIrQ?si=brBxj3RnQpzb4EOK&t=9142,8. Insert foxy's fuses into slots on body,3D,Environment,Peripersonal,Storage unit,Handheld object,Intersecting,Automatic,System control
Five Nights at Freddy's: Help Wanted,https://youtu.be/TGLPWGedIrQ?t=12053,9. Pull a lever into certain position to select entry,3D,Environment,Peripersonal,Discrete configuration,Handheld object,Discrete manipulation,Automatic,System control
"Please, Don't Touch Anything",https://youtu.be/IO2Z0qvxjs4?t=155,1. Touch one of buttons on keypad,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Automatic,System control
"Please, Don't Touch Anything",https://youtu.be/IO2Z0qvxjs4?t=63,3. Directly grasp an item within reach,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
"Please, Don't Touch Anything",https://youtu.be/IO2Z0qvxjs4?t=978,4. Hit aliens with hammer,3D,Environment,Peripersonal,Avatar,Handheld object,Intersecting,Automatic,System control
Battle Talent,https://youtu.be/M-z4KwnQdL8?si=ThOJEvpx9lbEueUb&t=273,1. Selecting from a UI at a distance,2D,Environment,Extrapersonal,UI Element,Ray - 2D Cursor,Pointing - Hand ray,Analog - Click,System control
Battle Talent,https://youtu.be/h97RE_CivJs?t=260 ,2. Attacking enemies using a handheld object,3D,Environment,Extrapersonal,Avatar,Handheld object,Intersecting,Automatic,System control
Battle Talent,https://youtu.be/M-z4KwnQdL8?si=XoTUYQb5inFP-X3S&t=69,4. Menu/Settings UI with ray click,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Battle Talent,https://youtu.be/h97RE_CivJs?t=816 ,5. Use a bow to eliminate enemies,3D,Environment,Extrapersonal,Avatar,Ray - Invisible,Aiming - Shooting,Analog - Release,System control
Battle Talent,https://youtu.be/M-z4KwnQdL8?si=2cRCeGJxCrFjqOPF&t=110,6. Press a 3d virtual button,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Press-in motion,System control
Battle Talent,https://youtu.be/M-z4KwnQdL8?si=fVSbLPtgBChbqwpl&t=179,7. Touch on-hand button to open menu,2D,Hand,On-Body,UI Element,Virtual hand,Intersecting,Automatic,System control
Battle Talent,https://youtu.be/h97RE_CivJs?t=2552 ,9. Select an area on the monster/enemy body to land a punch,3D,Environment,Peripersonal,Avatar,Virtual hand,Intersecting,Automatic,System control
Battle Talent,https://youtu.be/M-z4KwnQdL8?si=Ik2yOkWEnT56VE7u&t=893,10. Store weapons in on-torso inventory,3D,Torso,On-Body,Storage unit,Handheld object,Intersecting,Analog - Release,System control
No More Rainbows,https://youtu.be/jFvHDxuseu8?t=402,1. Crush enemies with paw,3D,Environment,Peripersonal,Avatar,Virtual hand,Intersecting,Automatic,System control
No More Rainbows,https://youtu.be/vg42cm_xmiY?t=27,2. Select items in menu using pointer,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
No More Rainbows,https://youtu.be/vg42cm_xmiY?t=38,3. Grab nearby enemies,3D,Environment,Peripersonal,Avatar,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Marvel's Iron Man VR,https://youtu.be/AFj-vTEywiU?t=40 ,2. Select from a UI at a distance ,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Marvel's Iron Man VR,https://youtu.be/AFj-vTEywiU?t=267 ,3. Point to a target with hand and target it to shoot it ,3D,Environment,Extrapersonal,3D Object,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Marvel's Iron Man VR,https://youtu.be/AFj-vTEywiU?si=7QCEb0boJO-Kt0Pg&t=752,4. Direct grasp of objects in the VE,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Marvel's Iron Man VR,https://youtu.be/AFj-vTEywiU?t=1148 ,7. Press a virtual 3D button,3D,Hand,On-Body,3D Object,Virtual hand,Intersecting,Press-in motion,System control
Marvel's Iron Man VR,https://youtu.be/AFj-vTEywiU?si=5LlZZ1deqQ-fwbcB&t=1184,8. Select from a UI with invisible ray,2D,Environment,Extrapersonal,UI Element,Virtual hand,Intersecting,Analog - Click,System control
Broken Edge,https://youtu.be/R_q4cH4zXXQ?si=RYmfI1GqGW1idz18&t=385,1. Pick up sword using direct grabbing,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Broken Edge,https://youtu.be/R_q4cH4zXXQ?si=YSzXEQB0oAQ9qltQ&t=468,"2. Slice enemies with sword, candles for selection",3D,Environment,Peripersonal,Avatar,Handheld object,Intersecting,Automatic,System control
Broken Edge,https://youtu.be/R_q4cH4zXXQ?t=369,3. Gaze in the direction of selectable elements to bring them closer,3D,Environment,Extrapersonal,3D Object,Ray - Invisible,Pointing - Head gaze,Automatic,System control
Thief Simulator VR: Greenview Street,https://youtu.be/azcF-V4ZIiA?t=24 ,1. Select from an on hand UI ,2D,Hand,On-Body,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Thief Simulator VR: Greenview Street,https://youtu.be/azcF-V4ZIiA?si=mc4Z8-x_99aiVQOV&t=139,2. Grasp objects directly from the VE,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Thief Simulator VR: Greenview Street,https://youtu.be/azcF-V4ZIiA?si=hMgF1RGz5g4g8cdA&t=148,3. Attach flashlight to the head,3D,Head,On-Body,Storage unit,Handheld object,Intersecting,Analog - Release,System control
Thief Simulator VR: Greenview Street,https://youtu.be/azcF-V4ZIiA?t=279 ,7. Select from a backpack UI inventory using direct grasp,2D,Hand,On-Body,UI Element,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Thief Simulator VR: Greenview Street,https://youtu.be/azcF-V4ZIiA?t=280 ,8. Insert item into inventory by releasing it over a slot,2D,Hand,On-Body,Storage unit,Handheld object,Intersecting,Analog - Release,System control
Thief Simulator VR: Greenview Street,https://youtu.be/azcF-V4ZIiA?t=710 ,10. Grab item from on-torso inventory slot,3D,Torso,On-Body,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Thief Simulator VR: Greenview Street,https://youtu.be/azcF-V4ZIiA?t=712 ,11. Insert item into on-torso inventory slot,2D,Torso,On-Body,Storage unit,Handheld object,Intersecting,Analog - Release,System control
Thief Simulator VR: Greenview Street,https://youtu.be/azcF-V4ZIiA?t=1197 ,12. Select from a UI at a distance from the user,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Real VR Fishing,https://youtu.be/KA4Qmuow9zk?t=8,1. Select  from in game settings UI,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Prison Boss VR,https://youtu.be/C_vLBfYl_b0?t=66 ,1. Grasp objects in VE,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Prison Boss VR,https://youtu.be/WXXC4IeDo38?si=cSeJid7oFw7wbSdS&t=9102,3. Touch a clock on the wall to progress in game,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Automatic,System control
Prison Boss VR,https://youtu.be/WXXC4IeDo38?si=MEHoAsZyc837NGWE&t=564,4. Touch a selected paper with two hands at the same time to split it ,3D,Hand,On-Body,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Prison Boss VR,https://youtu.be/WXXC4IeDo38?si=Eeo7HGdn1AsjnBei&t=324,6. Selection from a closeby UI by pointing,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Deisim,https://youtu.be/buqWChGiQfw?si=fAf3zPAOiKvLBa65&t=1499,1. Grab an item from a menu,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Deisim,https://youtu.be/buqWChGiQfw?t=181,2. Throw an object into an specific empy slot ,3D,Environment,Extrapersonal,3D Object,Handheld object,Aiming - Throwing,Analog - Release,System control
Deisim,https://youtu.be/buqWChGiQfw?si=jD2LKC1qEWQz033H&t=379,3. Selecting items in a book UI by pointing,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Deisim,https://youtu.be/buqWChGiQfw?t=350,4. Grab non-UI object from VE,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Deisim,https://youtu.be/buqWChGiQfw?si=n5OEaIjdrzwzGpEu&t=2003,5. Touch a slot in environment to assign type,3D,Environment,Peripersonal,Storage unit,Handheld object,Intersecting,Automatic,System control
Drop Dead: Dual Strike Edition,https://youtu.be/7Eg44oVjOwA?t=85 ,1. Shooting at enemies ,3D,Environment,Extrapersonal,Avatar,Ray - Invisible,Aiming - Shooting,Analog - Click,System control
Drop Dead: Dual Strike Edition,https://youtu.be/7Eg44oVjOwA?t=126 ,2. Hitting enemies with melee weapons,3D,Environment,Peripersonal,Avatar,Handheld object,Intersecting,Automatic,System control
Drop Dead: Dual Strike Edition,https://youtu.be/7Eg44oVjOwA?si=FOAMX0UkHFERWyGl&t=252,5. Throw objects at enemies,3D,Environment,Extrapersonal,Avatar,Handheld object,Aiming - Throwing,Analog - Release,System control
Drop Dead: Dual Strike Edition,https://youtu.be/93ZroItJvtk?si=ikBgD2xk0kbzCLPd&t=19,6. Point and click on UI,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Drop Dead: Dual Strike Edition,https://youtu.be/pfT5PZufHXw?si=bGl7ZXTt9KRUoRVG&t=121,7. Grab from on-troso inventory,3D,Torso,On-Body,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Drop Dead: Dual Strike Edition,https://youtu.be/93ZroItJvtk?si=20__XUUGbdlO6RV6&t=193,8. Insert into on-torso inventory,3D,Torso,On-Body,Storage unit,Handheld object,Intersecting,Analog - Release,System control
Cooking Simulator VR,https://youtu.be/N4Rj-ka9RRk?si=h3PWsgjk8hXy8byg&t=386 ,3. Throw away objects to a specific area in VE,3D,Environment,Peripersonal,3D Object,Handheld object,Aiming - Throwing,Analog - Release,System control
Cooking Simulator VR,https://youtu.be/N4Rj-ka9RRk?si=WXK7kRv3jjeqaISa&t=335,5. Select from UI using pointing,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Cooking Simulator VR,https://youtu.be/N4Rj-ka9RRk?si=6fcP3ObN_ZG2dTZT&t=540,8. Point and click on a UI element to select it,2D,Hand,On-Body,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Cooking Simulator VR,https://youtu.be/N4Rj-ka9RRk?si=mG2hQljyELtOcdpt&t=788,9. Point and hold grip to buy item and immideately acquire it,2D,Hand,On-Body,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Continued Press,Acquisition
Cooking Simulator VR,https://youtu.be/N4Rj-ka9RRk?t=1029 ,12. Press-in a 3D virtual button,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Press-in motion,System control
Cooking Simulator VR,https://youtu.be/N4Rj-ka9RRk?si=tbnZ69usxbcqNzyA&t=1029,13. Insert item into environment slot,3D,Environment,Peripersonal,Storage unit,Handheld object,Intersecting,Analog - Release,System control
Cooking Simulator VR,https://youtu.be/N4Rj-ka9RRk?si=sHI1uDxQ_dEV1G7v&t=1037,13. Discrete manipulation of knob,3D,Environment,Peripersonal,Discrete configuration,Handheld object,Discrete manipulation,Automatic,System control
Cooking Simulator VR,https://youtu.be/N4Rj-ka9RRk?t=1667 ,14. Interacting with PC UI using a mouse,2D,Environment,Peripersonal,UI Element,Virtual hand,Intersecting,Analog - Click,System control
Hand Physics Lab,https://youtu.be/G_HKJ1qxOwI?t=74 ,1. Grasp objects from the VE,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Hand Tracking - Hold gesture,Acquisition
Hand Physics Lab,https://youtu.be/G_HKJ1qxOwI?t=40 ,2. Selection of UI buttons,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Press-in motion,System control
Hand Physics Lab,https://youtu.be/G_HKJ1qxOwI?t=1391,6. Select an object using another object ,3D,Environment,Peripersonal,3D Object,Handheld object,Intersecting,Automatic,Acquisition
