Application,Timestamp,Description,Flat UI,Speed vs Accuracy,Avg. num selectables in view,Max num selectables in view,Unique target,Selectable size,Target distance,Static or moving target,Arrangement,Reference Frame,Direction,Occlusion,Selection Technique,Hover feedback,Feedback immediacy,Locomotion allowed,X,Y,color
Resident Evil Village,https://youtu.be/t_ywsdznMLk?t=177,4. Select a target to aim at and throw a knife towards,3D,equal,1-2,3-9,no,large,Extrapersonal,moving,random,Environment,both,minimal,Throw,no,no,yes,36.067654,15.398251,DeepSkyBlue
Resident Evil Village,https://youtu.be/t_ywsdznMLk?t=199,5. Select tools/weapons from on-body inventory,3D,equal,3-9,3-9,yes,medium,On-body,static,random,Torso,periphery,heavy,Grasp,no,yes,no,-31.67016,8.495906,Green
Resident Evil Village,https://youtu.be/t_ywsdznMLk?t=316,6. Select an areaa on an avatar/enemy to land a punch,3D,equal,1-2,3-9,no,large,Peripersonal,moving,random,Environment,both,minimal,Push,no,yes,yes,7.4359126,-32.985016,Olive
Resident Evil Village,https://youtu.be/IXu1CnfoY3o?t=1647,7. Select objects from the VE to collect/pickup from a close distance,3D,equal,3-9,3-9,no,small,Peripersonal,static,random,Environment,both,minimal,Point,yes,yes,yes,-7.124355,29.799454,Red
Resident Evil Village,https://youtu.be/IXu1CnfoY3o?t=165,8. Select targets to destroy (i.e. slicing boxes),3D,speed,1-2,3-9,no,large,Peripersonal,static,random,Environment,both,minimal,Cross,no,yes,yes,-39.258446,-9.732912,Chocolate
Resident Evil Village,https://youtu.be/IXu1CnfoY3o?t=1493,9. Select a map to pick up from the body,3D,speed,1-2,1-2,yes,small,On-body,static,random,Torso,periphery,heavy,Grasp,no,yes,no,-29.785547,7.85534,Green
Escape the Backrooms,https://youtu.be/qRj2FxKfyqo?t=339 ,1. Select objects to collect directly from the VE ,3D,accuracy,1-2,3-9,yes,small,Peripersonal,static,random,Environment,center,none,Grasp,no,yes,yes,-20.037916,-18.652298,Green
Escape the Backrooms,https://youtu.be/qRj2FxKfyqo?t=380 ,2. Open a selected door,3D,accuracy,1-2,1-2,yes,large,Peripersonal,static,random,Environment,center,none,Grasp,no,yes,yes,-20.476847,-11.41037,Green
Escape the Backrooms,https://youtu.be/qRj2FxKfyqo?si=Lsc5k2EU1cAzF40Q&t=566 ,4. UI Menu/Inventory where you can select using raycast,2D,accuracy,3-9,10-19,yes,small,On-body,static,grid,Head,center,none,Point,no,yes,no,5.9192605,33.35895,Red
Escape the Backrooms,https://youtu.be/qRj2FxKfyqo?t=630 ,5. Select buttons/entries on a card reader door UI.,3D,accuracy,10-19,10-19,yes,small,Peripersonal,static,grid,Environment,center,none,Point,no,yes,no,-7.245037,28.049967,Red
Escape the Backrooms,https://youtu.be/qRj2FxKfyqo?t=812 ,7. Select a place or whole to push a key through,3D,accuracy,1-2,1-2,yes,small,Peripersonal,static,random,Environment,center,none,Touch,no,yes,yes,45.858864,-2.0650897,Tomato
Devour,https://youtu.be/SOn1teeApmY?t=55 ,1. Selecting from a UI at a distance,2D,accuracy,3-9,10-19,yes,medium,Extrapersonal,static,grid,Environment,center,none,Point,yes,yes,yes,9.266158,13.445857,Red
Devour,https://youtu.be/SOn1teeApmY?si=H_eQ3EdwPTE1qRMp&t=900 ,2. Select a target enemy to point to with a cone volume UV light to kill or slow down,3D,accuracy,1-2,3-9,yes,large,Extrapersonal,moving,random,Environment,center,minimal,Point,no,yes,yes,-5.1635337,35.560207,Red
Devour,https://youtu.be/SOn1teeApmY?t=269 ,3. Grasping objects from the VE,3D,accuracy,1-2,3-9,yes,medium,Peripersonal,static,random,Environment,center,none,Grasp,yes,yes,yes,-20.290676,-18.423647,Green
Devour,https://youtu.be/SOn1teeApmY?t=722 ,4. Select a door or cabinet/drawer to open or close,3D,accuracy,1-2,1-2,yes,large,Peripersonal,static,random,Environment,center,none,Grasp,no,yes,yes,-20.155596,-11.615095,Green
Devour,https://youtu.be/SOn1teeApmY?t=1285 ,5. Select an ally to hover over with a medkit to resurect them/regenerate their health.,3D,accuracy,1-2,1-2,yes,large,Peripersonal,static,random,Environment,center,none,Hover,yes,yes,yes,-13.178875,0.9242584,DarkTurquoise
DCS World Steam Edition,https://youtu.be/eiUVQhcdkpo?t=252,"1. Point to select and use cockpit control elements, buttons, gears, switches, etc",3D,accuracy,10-19,20+,yes,small,Peripersonal,static,grid,Environment,both,minimal,Point,yes,yes,no,-7.227143,28.117672,Red
DCS World Steam Edition,https://youtu.be/eiUVQhcdkpo?t=39,2. Selecting from a close UI to the pilot,2D,accuracy,20+,20+,yes,small,Extrapersonal,static,grid,Environment,center,none,Point,yes,yes,no,6.689959,15.494823,Red
DCS World Steam Edition,https://youtu.be/eiUVQhcdkpo?t=34,"3. Grasp objects directly in the VE (i.e. an aircraft control gear, other elements close by to the pilot within the aircraft)",3D,accuracy,3-9,10-19,yes,small,Peripersonal,static,grid,Environment,both,none,Grasp,yes,yes,no,-11.545391,-13.349285,Green
DCS World Steam Edition,https://youtu.be/EMYXwZFhe88?t=651 ,4. Aiming at selected enemies or an area to shoot at,3D,equal,1-2,3-9,yes,large,Extrapersonal,moving,random,Environment,center,minimal,Shoot,no,yes,no,11.731454,-9.695391,Gold
REC Room,https://youtu.be/nK1WOUiwiF4?t=363 ,1. Grasp objects directly from the VE,3D,speed,1-2,10-19,yes,medium,Peripersonal,static,random,Environment,center,none,Grasp,yes,yes,yes,-20.491674,-14.20149,Green
REC Room,https://youtu.be/nK1WOUiwiF4?t=67 ,2. Grasp a hand for greeting other players,3D,accuracy,1-2,1-2,yes,small,Peripersonal,static,random,Environment,center,none,Grasp,yes,yes,yes,-21.087425,-9.913364,Green
REC Room,https://youtu.be/nK1WOUiwiF4?t=94 ,3. Select an object  in the air to catch,3D,accuracy,1-2,1-2,yes,medium,Peripersonal,moving,random,Environment,center,none,Catch,no,yes,yes,-34.24396,-11.475993,DarkOrange
REC Room,https://youtu.be/nK1WOUiwiF4?t=108 ,4. Select a part of the body to touch with food to consume it (i.e. mouth),3D,accuracy,1-2,1-2,yes,medium,On-body,static,random,Head,center,none,Touch,no,yes,no,42.24951,-5.2256002,Tomato
REC Room,https://youtu.be/nK1WOUiwiF4?t=309 ,5. Throw selected objects towards selected targets or area ,3D,accuracy,1-2,3-9,no,medium,Extrapersonal,static,random,Environment,center,none,Throw,no,yes,yes,35.611088,15.348952,DeepSkyBlue
REC Room,https://youtu.be/nK1WOUiwiF4?t=221 ,6. Select from a closeby UI by pressing buttons,2D,accuracy,10-19,20+,yes,small,Peripersonal,static,grid,Environment,center,none,Touch,yes,yes,yes,48.45275,-7.632479,Tomato
REC Room,https://youtu.be/nK1WOUiwiF4?t=289 ,7. Select a target to aim at and shoot ,3D,equal,1-2,3-9,yes,large,Extrapersonal,moving,random,Environment,center,minimal,Shoot,no,yes,yes,12.557232,-9.475001,Gold
REC Room,https://youtu.be/nK1WOUiwiF4?t=1157 ,8. selecting an object at a distance (i.e. closed shelf) and when selected the objects are displayed in a circular format. ,3D,accuracy,3-9,10-19,yes,medium,Extrapersonal,static,grid,Environment,center,none,Point,yes,yes,yes,-9.424454,35.046944,Red
REC Room,https://youtu.be/nK1WOUiwiF4?t=637 ,9. Selecting a body area to put an object or wearable on,3D,accuracy,1-2,3-9,yes,small,On-body,static,random,Head,center,none,Release-to-select,yes,yes,no,15.178795,-27.425457,Blue
REC Room,https://youtu.be/nK1WOUiwiF4?t=643 ,10. Selecting from on hand UI,2D,accuracy,10-19,20+,yes,small,On-body,static,grid,Hand,center,none,Touch,yes,yes,no,44.056343,-8.109139,Tomato
REC Room,https://youtu.be/nK1WOUiwiF4?t=638 ,11. Point to objects at a distance,3D,accuracy,3-9,10-19,yes,medium,Extrapersonal,static,random,Environment,both,none,Point,yes,yes,yes,-8.822459,35.14238,Red
REC Room,https://youtu.be/nK1WOUiwiF4?t=1048 ,12. Selecting from a UI at a distance,2D,accuracy,1-2,1-2,yes,small,Extrapersonal,static,random,Environment,center,none,Point,no,yes,yes,5.8116,9.730042,Red
Golf It!,https://youtu.be/CT5wMo6Spf4?t=39,1. Selecting Items on a menu,2D,accuracy,3-9,10-19,yes,medium,Extrapersonal,static,grid,Environment,center,none,Point,yes,yes,yes,9.422883,13.398425,Red
Golf It!,https://youtu.be/CT5wMo6Spf4?t=73,2. Hit a golf ball ,3D,equal,1-2,1-2,yes,small,Peripersonal,static,random,Environment,center,none,Cross,yes,yes,yes,-36.601887,-9.184631,Chocolate
Derail Valley,https://youtu.be/fjks0MAVAQ4?t=191 ,1. Selecting objects from a distance,3D,accuracy,1-2,3-9,yes,small,Extrapersonal,static,random,Environment,both,minimal,Point,yes,yes,yes,-6.103219,35.411976,Red
Derail Valley,https://youtu.be/fjks0MAVAQ4?t=51 ,2. Pressing buttons,3D,accuracy,3-9,3-9,no,small,Peripersonal,static,list,Environment,center,none,Press Virtual Button,no,yes,yes,3.0073369,-37.282383,LimeGreen
Derail Valley,https://youtu.be/fjks0MAVAQ4?t=166 ,4. Selecting objects using a tool like a shovel,3D,equal,1-2,1-2,yes,small,Peripersonal,static,random,Environment,center,minimal,Touch,no,yes,yes,45.278435,-2.0344222,Tomato
Derail Valley,https://youtu.be/fjks0MAVAQ4?t=217 ,5. Throw objects at locations,3D,accuracy,1-2,1-2,yes,medium,Extrapersonal,static,random,Environment,center,minimal,Throw,yes,yes,yes,33.82784,14.447307,DeepSkyBlue
Derail Valley,https://youtu.be/fjks0MAVAQ4?t=249 ,6. Rotate a grasped wheel,3D,accuracy,1-2,1-2,yes,medium,Peripersonal,static,random,Environment,both,none,Manipulate-to-select,no,yes,yes,-14.425328,16.52677,MediumPurple
Derail Valley,https://youtu.be/fjks0MAVAQ4?t=158 ,7. Selecting objects using grasp,3D,accuracy,1-2,3-9,yes,medium,Peripersonal,static,random,Environment,center,minimal,Grasp,no,yes,yes,-19.66343,-18.037714,Green
Swordsman VR,https://youtu.be/F2iriqT40eg?t=209,1. Game settings UI,2D,accuracy,3-9,20+,yes,small,Extrapersonal,static,grid,Environment,both,none,Point,yes,yes,yes,10.136793,12.81857,Red
Swordsman VR,https://youtu.be/F2iriqT40eg?t=32,2. Head-referenced UI that follows user's head,2D,accuracy,1-2,1-2,yes,small,On-body,static,grid,Head,center,none,Point,yes,yes,no,5.8356404,33.155212,Red
Swordsman VR,https://youtu.be/F2iriqT40eg?t=83,3. Attacking enemy avatar with sword,3D,equal,1-2,3-9,no,large,Peripersonal,moving,random,Environment,both,minimal,Cross,no,yes,yes,-38.85219,-9.299896,Chocolate
Batman: Arkham VR,https://youtu.be/g0zBx1KiUU0?t=235,1. Directly picking up items in environment,3D,equal,3-9,3-9,no,small,Peripersonal,static,random,Environment,both,minimal,Grasp,no,yes,yes,-9.426107,-16.257967,Green
Batman: Arkham VR,https://youtu.be/g0zBx1KiUU0?t=334,2. Inserting items into slots,3D,equal,1-2,3-9,no,medium,Peripersonal,static,random,Environment,both,minimal,Release-to-select,no,yes,yes,11.080188,-30.145744,Blue
Batman: Arkham VR,https://youtu.be/g0zBx1KiUU0?t=374,3. Pull manipulable items to rotate/open/translate them,3D,equal,1-2,1-2,yes,medium,Peripersonal,static,random,Environment,both,none,Manipulate-to-select,no,yes,yes,-14.968443,16.62862,MediumPurple
Batman: Arkham VR,https://youtu.be/g0zBx1KiUU0?t=499,4. Pushing piano keys (and buttons),3D,accuracy,20+,20+,yes,small,Peripersonal,static,grid,Environment,both,none,Press Virtual Button,no,yes,yes,3.9031506,-37.495243,LimeGreen
Batman: Arkham VR,https://youtu.be/g0zBx1KiUU0?t=635,6. Grabbing tools from on-body slots,3D,equal,1-2,3-9,yes,medium,On-body,static,circular,Torso,periphery,heavy,Grasp,yes,yes,no,-31.026184,9.234918,Green
Batman: Arkham VR,https://youtu.be/g0zBx1KiUU0?t=637,7. Throwing items at targets,3D,accuracy,3-9,3-9,no,medium,Extrapersonal,moving,random,Environment,center,minimal,Throw,no,no,no,36.145123,16.793013,DeepSkyBlue
Batman: Arkham VR,https://youtu.be/g0zBx1KiUU0?t=1043,8. Aiming a pull gun at objects in distance ,3D,accuracy,1-2,1-2,yes,medium,Extrapersonal,static,random,Environment,center,none,Shoot,yes,yes,no,14.4874525,-11.514928,Gold
Batman: Arkham VR,https://youtu.be/g0zBx1KiUU0?t=1135,9. Rotate the FM radar to select a different radio station,3D,accuracy,3-9,3-9,no,medium,Peripersonal,static,circular,Environment,center,none,Manipulate-to-select,no,yes,no,-12.6855,17.870018,MediumPurple
Batman: Arkham VR,https://youtu.be/g0zBx1KiUU0?t=1214,10. Touch a flat UI display to select an item,2D,accuracy,3-9,3-9,yes,medium,Peripersonal,static,grid,Environment,both,none,Touch,yes,yes,yes,48.83005,-7.0533414,Tomato
Batman: Arkham VR,https://youtu.be/g0zBx1KiUU0?t=1715,11. Pressing a physical button to select a vehicle,3D,accuracy,3-9,3-9,yes,medium,Peripersonal,static,grid,Environment,both,none,Press Virtual Button,no,yes,yes,3.2342968,-37.75109,LimeGreen
Batman: Arkham VR,https://youtu.be/g0zBx1KiUU0?t=1887,12. Hover over a point of interest to reveal more information,3D,accuracy,1-2,1-2,yes,large,Extrapersonal,static,random,Environment,center,minimal,Hover,yes,yes,no,-14.18333,2.602108,DarkTurquoise
Batman: Arkham VR,https://youtu.be/g0zBx1KiUU0?t=2401,13. Select targets by hovering with gaze,3D,speed,3-9,3-9,no,medium,Extrapersonal,static,random,Environment,center,heavy,Hover,yes,no,no,-14.475872,2.6775439,DarkTurquoise
The Walking Dead: Saints & Sinners,https://youtu.be/r8hbTzWcE_w?t=4 ,1. Selecting from a  UI at a distance ,2D,accuracy,3-9,3-9,yes,small,Extrapersonal,static,grid,Environment,center,none,Point,yes,yes,no,11.337201,13.57011,Red
The Walking Dead: Saints & Sinners,https://youtu.be/r8hbTzWcE_w?t=72 ,2. Select an item or object from the hip area on body,3D,accuracy,1-2,1-2,yes,medium,On-body,static,random,Torso,periphery,none,Grasp,yes,yes,no,-30.563496,7.612303,Green
The Walking Dead: Saints & Sinners,https://youtu.be/r8hbTzWcE_w?t=83 ,"3. Select an item or object from the body of the user, large weapon from the back, flashlight from the left of the front body, journal from the right, etc.",3D,accuracy,1-2,1-2,yes,medium,On-body,static,grid,Torso,periphery,minimal,Grasp,no,yes,no,-30.489813,8.335481,Green
The Walking Dead: Saints & Sinners,https://youtu.be/r8hbTzWcE_w?t=111 ,4. Selecting items from a backpack inventory ,3D,accuracy,3-9,10-19,yes,small,On-body,static,grid,Hand,center,minimal,Grasp,yes,yes,no,-21.208748,-4.771489,Green
The Walking Dead: Saints & Sinners,https://youtu.be/r8hbTzWcE_w?t=123 ,5. Hover over an area on the body to apply medication/medical tape,3D,accuracy,1-2,1-2,yes,medium,On-body,static,random,Hand,both,none,Hover,yes,yes,no,-12.974893,3.5402,DarkTurquoise
The Walking Dead: Saints & Sinners,https://youtu.be/r8hbTzWcE_w?t=140 ,6. Selecting from a on-hand journal book UI,2D,accuracy,3-9,3-9,yes,small,On-body,static,grid,Hand,center,none,Touch,yes,yes,no,44.262993,-8.32984,Tomato
The Walking Dead: Saints & Sinners,https://youtu.be/r8hbTzWcE_w?t=1148 ,8. Grasp objects from the environment or knobs for doors/shelves/closets etc,3D,equal,1-2,10-19,no,small,Peripersonal,static,random,Environment,center,none,Grasp,yes,yes,yes,-20.238668,-14.16729,Green
The Walking Dead: Saints & Sinners,https://youtu.be/r8hbTzWcE_w?t=2543 ,10. Destroying obstacles and eliminating enemies by cross selection,3D,equal,1-2,1-2,yes,large,Peripersonal,both,random,Environment,center,none,Cross,no,yes,yes,-37.452164,-9.559673,Chocolate
The Walking Dead: Saints & Sinners,https://youtu.be/r8hbTzWcE_w?t=2637 ,11. Select an object to grab through to climb,3D,accuracy,1-2,1-2,no,medium,Peripersonal,static,random,Environment,center,none,Grasp,no,yes,yes,-19.887094,-12.063986,Green
The Walking Dead: Saints & Sinners,https://youtu.be/r8hbTzWcE_w?t=112 ,"12. Hovering over part of the body to consume food or such, for example hovering over the mouth/heaad to eat food.",3D,accuracy,1-2,1-2,yes,medium,On-body,static,random,Head,center,none,Hover,no,yes,yes,-12.852147,4.4696884,DarkTurquoise
The Walking Dead: Saints & Sinners,https://youtu.be/r8hbTzWcE_w?t=4141 ,"13. Selecting a slot in an inventory, backpack or wall hanger for example, to place an item ",3D,accuracy,3-9,10-19,no,small,On-body,static,grid,Hand,center,none,Release-to-select,yes,yes,yes,14.977657,-29.513367,Blue
The Walking Dead: Saints & Sinners,https://youtu.be/r8hbTzWcE_w?t=4177 ,"14. Drop an item at a target location (i.e. trash can, or hanger)",3D,accuracy,1-2,1-2,yes,medium,Peripersonal,static,random,Environment,center,none,Release-to-select,yes,yes,yes,11.290771,-30.43578,Blue
The Walking Dead: Saints & Sinners,https://youtu.be/r8hbTzWcE_w?t=4719 ,"15. Pressing buttons to input a password, or pushing ammo into revolver reloading spots, etc.",3D,accuracy,3-9,10-19,yes,small,Peripersonal,static,grid,Environment,center,none,Press Virtual Button,yes,yes,yes,4.1567445,-38.101734,LimeGreen
The Walking Dead: Saints & Sinners,https://youtu.be/r8hbTzWcE_w?t=18551 ,16. Aim at a target and shoot,3D,equal,1-2,3-9,yes,large,Extrapersonal,both,random,Environment,center,minimal,Shoot,no,yes,yes,12.804177,-9.551069,Gold
The Walking Dead: Saints & Sinners,https://youtu.be/r8hbTzWcE_w?t=9344 ,17. Grasping some objects from the VE at a mid range distance,3D,accuracy,1-2,3-9,yes,medium,Extrapersonal,static,random,Environment,both,minimal,Point,yes,yes,yes,-5.9187193,34.96366,Red
The Walking Dead: Saints & Sinners,https://youtu.be/r8hbTzWcE_w?si=2F7FGxVvEINPr_fO&t=19737,18. Rotating a knob on radio after to select channel,3D,accuracy,1-2,3-9,yes,small,Peripersonal,static,random,Environment,center,none,Manipulate-to-select,yes,yes,yes,-13.331588,16.75046,MediumPurple
Sniper Elite VR,https://youtu.be/ye59zBfkVI0?t=115,1. Grabbing ammo at mid-range distance,3D,equal,3-9,3-9,no,small,Extrapersonal,static,grid,Environment,both,minimal,Point,yes,yes,yes,-9.257882,33.935863,Red
Sniper Elite VR,https://youtu.be/ye59zBfkVI0?t=130,2. Grabbing gear from a hip pouch,3D,equal,3-9,3-9,yes,small,On-body,static,circular,Torso,periphery,heavy,Grasp,yes,yes,no,-31.822319,9.280987,Green
Sniper Elite VR,https://youtu.be/ye59zBfkVI0?t=125,3. Taking out a rifle from above the right shoulder,3D,equal,1-2,1-2,yes,large,On-body,static,random,Torso,periphery,heavy,Grasp,no,yes,no,-30.041618,8.125439,Green
Sniper Elite VR,https://youtu.be/ye59zBfkVI0?t=133,4. Pushing ammo into the chamber,3D,equal,1-2,1-2,yes,small,On-body,moving,random,Hand,periphery,minimal,Push,yes,yes,no,9.759895,-34.607067,Olive
Sniper Elite VR,https://youtu.be/ye59zBfkVI0?t=240,5. Shooting at enemy avatars,3D,accuracy,3-9,3-9,no,medium,Extrapersonal,both,random,Environment,center,heavy,Shoot,no,yes,yes,15.366062,-7.038362,Gold
Sniper Elite VR,https://youtu.be/ye59zBfkVI0?t=362,6. Directly grab ammo from environment,3D,equal,3-9,3-9,no,small,Peripersonal,static,random,Environment,both,minimal,Grasp,yes,yes,yes,-9.573739,-16.481186,Green
Sniper Elite VR,https://youtu.be/sb_Er-9A01E?t=102,7. Post-mission and scoreboard UI,2D,accuracy,3-9,3-9,yes,medium,Extrapersonal,static,grid,Environment,center,none,Point,yes,yes,no,11.115997,12.397227,Red
Sniper Elite VR,https://youtu.be/ye59zBfkVI0?t=571,8. Grasp and click to flip a page in a book-based UI,2D,accuracy,3-9,3-9,no,small,On-body,moving,random,Hand,both,none,Grasp,yes,yes,no,-19.426622,-4.8648343,Green
Sniper Elite VR,https://youtu.be/ye59zBfkVI0?t=588,9. Click and hold (hover) to select a mission from the book UI,2D,accuracy,3-9,3-9,no,small,On-body,moving,random,Hand,both,none,Hover,yes,yes,no,-12.237852,2.8687465,DarkTurquoise
Sniper Elite VR,https://youtu.be/ye59zBfkVI0?t=756,10. Point and release to launch a projectile (grenade),3D,equal,1-2,3-9,no,large,Extrapersonal,both,random,Environment,center,heavy,Release-to-select,yes,yes,yes,12.548561,-27.621744,Blue
Sniper Elite VR,https://youtu.be/ye59zBfkVI0?t=801,11. Select another state though manipulating a switch to start the training sequence,3D,accuracy,1-2,1-2,yes,medium,Peripersonal,static,random,Environment,both,none,Manipulate-to-select,no,yes,yes,-14.907946,16.567009,MediumPurple
Sniper Elite VR,https://youtu.be/ye59zBfkVI0?t=2462,12. Insert ammo into the shotgun by releasing it over it,3D,speed,1-2,1-2,yes,small,On-body,moving,random,Hand,both,minimal,Release-to-select,yes,yes,no,14.707507,-30.412878,Blue
Sniper Elite VR,https://youtu.be/sb_Er-9A01E?t=21,13. Aiming with this pistol is more like pointing,3D,accuracy,1-2,3-9,no,large,Extrapersonal,both,random,Environment,center,heavy,Point,no,yes,yes,-4.0988336,35.78798,Red
Arizona Sunshine,https://youtu.be/nHJwDGUKq3A?t=111 ,1. Select an enemy or area to shoot,3D,equal,1-2,3-9,yes,large,Extrapersonal,both,random,Environment,center,minimal,Shoot,no,yes,yes,12.792297,-9.553833,Gold
Arizona Sunshine,https://youtu.be/nHJwDGUKq3A?t=139 ,2. Grasp an item from the environment,3D,accuracy,1-2,3-9,no,small,Peripersonal,static,random,Environment,center,none,Grasp,yes,yes,yes,-19.918682,-19.037342,Green
Arizona Sunshine,https://youtu.be/nHJwDGUKq3A?si=aC0axsZwflxuH-By&t=353,4. Click on a button to open the car trunk ,3D,accuracy,1-2,1-2,yes,small,Peripersonal,static,random,Environment,center,none,Grasp,yes,yes,yes,-21.756456,-10.638824,Green
Arizona Sunshine,https://youtu.be/nHJwDGUKq3A?t=465 ,"5. Select an area of the body to apply clothing to it, for example, picking a hat and touching the head with it to wear it",3D,accuracy,1-2,1-2,yes,medium,On-body,static,random,Head,center,none,Release-to-select,no,yes,yes,15.317211,-27.407717,Blue
Arizona Sunshine,https://youtu.be/nHJwDGUKq3A?t=990 ,6. Grasp items from inventory on hip,3D,accuracy,3-9,3-9,yes,medium,On-body,static,circular,Torso,both,minimal,Grasp,yes,yes,yes,-32.296143,8.917606,Green
Arizona Sunshine,https://youtu.be/nHJwDGUKq3A?si=Wl4CdzfyO4vioAub&t=676,"7. Select an area to look at to gain information  related to the the game, for example in this instance it is the road that the user needs to follow",3D,accuracy,1-2,1-2,yes,large,Extrapersonal,static,random,Environment,center,none,Hover,yes,yes,yes,-14.35011,2.6736195,DarkTurquoise
Arizona Sunshine,https://youtu.be/nHJwDGUKq3A?t=1267 ,8. Touch an object to select it as target for inserting an item,3D,accuracy,1-2,1-2,yes,small,Peripersonal,static,random,Environment,center,none,Touch,yes,yes,yes,46.0251,-2.028329,Tomato
Arizona Sunshine,https://youtu.be/nHJwDGUKq3A?t=1267,9. Manipulate the switch to change its state (while it is grasped),3D,equal,1-2,1-2,yes,small,Peripersonal,static,random,Environment,center,none,Manipulate-to-select,no,yes,yes,-14.103755,16.248163,MediumPurple
Arizona Sunshine,https://youtu.be/nHJwDGUKq3A?si=H6dxklvczJkgbiB2&t=1485,10. Throw an object at an area or enemy,3D,accuracy,1-2,3-9,yes,large,Extrapersonal,both,random,Environment,center,minimal,Throw,no,yes,yes,36.46795,15.409481,DeepSkyBlue
Arizona Sunshine,https://youtu.be/nHJwDGUKq3A?t=1708 ,11. Touching close by items to directly add them to the inventory ,3D,accuracy,1-2,3-9,yes,small,Peripersonal,static,random,Environment,both,none,Touch,yes,yes,yes,46.56539,-0.30097017,Tomato
Arizona Sunshine,https://youtu.be/nHJwDGUKq3A?t=5274 ,13. Aim at zombies with a machine gun,3D,speed,3-9,10-19,no,large,Extrapersonal,both,random,Environment,center,minimal,Shoot,no,yes,no,16.090542,-7.7297397,Gold
Contractors,https://youtu.be/ZvrZPVSuSDU?t=37,1. Push buttons in a gun range,3D,equal,3-9,3-9,no,medium,Peripersonal,static,grid,Environment,both,none,Press Virtual Button,no,yes,yes,3.0966945,-37.74496,LimeGreen
Contractors,https://youtu.be/ZvrZPVSuSDU?t=31,2. Select items from on-body slots,3D,equal,3-9,3-9,yes,medium,On-body,static,circular,Torso,periphery,heavy,Grasp,no,yes,no,-31.75362,9.256169,Green
Contractors,https://youtu.be/ZvrZPVSuSDU?t=48,3. Use ray to customize inventory in pop-up UI,2D,accuracy,20+,20+,yes,medium,Extrapersonal,static,grid,Environment,center,none,Point,yes,yes,no,9.183098,11.296909,Red
Contractors,https://youtu.be/ZvrZPVSuSDU?si=D1_UuKuyGvO0v2iI&t=140,4. Throw basketball at the hoop,3D,equal,1-2,1-2,no,small,Extrapersonal,static,random,Environment,both,minimal,Throw,no,no,yes,34.160667,13.737867,DeepSkyBlue
Contractors,https://youtu.be/ZvrZPVSuSDU?t=244,5. Aiming at enemy avatars,3D,equal,1-2,3-9,no,large,Extrapersonal,both,random,Environment,center,heavy,Shoot,no,no,yes,12.689726,-8.424803,Gold
Contractors,https://youtu.be/ZvrZPVSuSDU?t=371,6. Direct grab of objects in environment,3D,equal,1-2,3-9,no,medium,Peripersonal,static,random,Environment,both,minimal,Grasp,no,yes,yes,-18.33524,-17.333849,Green
Contractors,https://youtu.be/ZvrZPVSuSDU?t=518,7. Plant the C4 while holding trigger in an area,3D,speed,1-2,1-2,no,large,Peripersonal,static,random,Environment,periphery,none,Hover,yes,yes,yes,-13.55723,0.7025309,DarkTurquoise
Contractors,https://youtu.be/ZvrZPVSuSDU?si=_bwiVA5YtHbQ86Fh&t=781,8. Grasp empty ammo mag on the weapon,3D,speed,1-2,1-2,yes,medium,On-body,moving,random,Hand,both,minimal,Grasp,no,yes,no,-22.261734,-4.8951597,Green
Surgineer,https://youtu.be/FkDO5NMOcyA?t=47 ,"1. Grasp objects from the VE i.e pencil, notes, etc.",3D,accuracy,1-2,3-9,yes,small,Peripersonal,static,random,Environment,center,none,Grasp,yes,yes,yes,-19.937958,-18.822447,Green
Surgineer,https://youtu.be/FkDO5NMOcyA?si=jUJUAEXqCs3CXc5a&t=43,"2. Push selected objects, such as a skeleton or pushing out objects from a patients body, etc.",3D,accuracy,1-2,3-9,yes,large,Peripersonal,static,random,Environment,center,none,Push,yes,yes,yes,7.7011633,-32.833733,Olive
Surgineer,https://youtu.be/FkDO5NMOcyA?t=186,3. Select from a close by menu/task UI using touch ,2D,accuracy,10-19,10-19,yes,small,Peripersonal,static,grid,Environment,center,none,Touch,no,yes,yes,48.27539,-7.52185,Tomato
Surgineer,https://youtu.be/FkDO5NMOcyA?t=189 ,4. Hover over the start button to load the selected level/task,2D,accuracy,1-2,1-2,yes,small,Peripersonal,static,list,Environment,center,none,Hover,no,yes,yes,-11.053175,1.4000335,DarkTurquoise
Surgineer,https://youtu.be/FkDO5NMOcyA?t=239 ,6. Drop/Throw a sergical object or other VE grabbable objects away,3D,accuracy,1-2,3-9,yes,medium,Peripersonal,static,random,Environment,both,none,Throw,no,yes,yes,35.961246,13.016978,DeepSkyBlue
Surgineer,https://youtu.be/FkDO5NMOcyA?t=813 ,8. Hover with a dental tool over the teeth to be removed,3D,equal,3-9,10-19,yes,small,Peripersonal,static,circular,Environment,center,minimal,Hover,no,yes,yes,-12.666248,0.04754444,DarkTurquoise
Surgineer,https://youtu.be/FkDO5NMOcyA?t=1400 ,10. Push a button to turn on or off medical tools or change their shape,3D,accuracy,1-2,1-2,yes,small,On-body,static,random,Hand,center,none,Touch,no,yes,yes,44.330013,-5.135728,Tomato
Surgineer,https://youtu.be/FkDO5NMOcyA?t=2308 ,11. Pointin to an object using a machine with a ray to select it,3D,accuracy,3-9,3-9,yes,medium,Extrapersonal,static,random,Environment,center,heavy,Point,yes,yes,no,-9.180506,33.100372,Red
