app,date,platform,link,scenario,ui,speed,num,max_num,unique,shape,size,distance,static,arrangement,rf,direction,occlusion,is_mechanic,selection_technique,hover,feedback,locomotion,X,Y,color
VRChat,February 2017,Oculus; Steam,https://youtu.be/t6fjePltUlc?t=585,5. Shooting at other players,no,accuracy,3-9,20+,no,avatar,large,extrapersonal,moving,random,env,both,heavy,yes,shoot,no,no,yes,37.95314,9.577559,brown
VRChat,February 2017,Oculus; Steam,https://youtu.be/L-qtmSIH3nM?t=252,"6. Grasping shelfs, drawers and doors to open them",no,accuracy,3-9,3-9,no,door/drawer knobs,small,peripersonal,static,random,env,both,minimal,yes,grasp,yes,yes,yes,12.723546,-32.019745,cyan
VRChat,February 2017,Oculus; Steam,https://youtu.be/L-qtmSIH3nM?t=372,7. Grabing normal objects in the world,no,accuracy,3-9,10-19,no,pickables,medium,peripersonal,static,random,env,both,minimal,no,grasp,yes,yes,yes,8.745438,-35.36798,cyan
Phasmophobia,September 2020,Steam,https://youtu.be/UPIaaffVLL0?si=ZBu0pJeniVZZydjd&t=526,1. Grasping objects from the environment ,no,accuracy,1-2,3-9,yes,"torch, ghost meter/detector, hammer, etc.",small,peripersonal,static,random,env,center,none,no,grasp,no,yes,yes,-10.298631,-25.907343,orange
Phasmophobia,September 2020,Steam,https://youtu.be/XfOePQtUpck?t=311,2. Selecting from a closeby UI either book UI or others,yes,accuracy,3-9,3-9,yes,"arrows, text, icons",small,on-body,static,grid,hand,center,none,no,point,no,yes,no,22.50949,-8.942048,green
Phasmophobia,September 2020,Steam,https://youtu.be/UPIaaffVLL0?si=dAxQ0xj0JVHdIVbV&t=91,3. Pushing an object ,no,equal,1-2,1-2,yes,"door, closet, etc",large,peripersonal,static,random,env,center,none,yes,push,no,yes,yes,-24.845558,13.737548,pink
Phasmophobia,September 2020,Steam,https://youtu.be/UPIaaffVLL0?si=MOcoGkL3lQ0SVOc4&t=485,5. Grasping objects from a circle on-body,no,accuracy,3-9,3-9,yes,"torch, ghost meter/detector, hammer, quest tools, book, portable objects, etc.",small,on-body,static,circular,body,both,none,yes,grasp,no,yes,no,8.000005,-23.327698,blue
Phasmophobia,September 2020,Steam,https://youtu.be/UPIaaffVLL0?t=249,6. Touch flat button pannel to close a door,yes,accuracy,1-2,3-9,yes,"digital card reader, door digital lock pannel",small,peripersonal,static,grid,env,center,none,no,touch,no,yes,yes,-4.432291,47.39338,yellow
Phasmophobia,September 2020,Steam,https://youtu.be/UPIaaffVLL0?t=268,7. Grasp a closet/cabinet door to open it or move it ,no,accuracy,1-2,1-2,yes,"door, closet cabinet door",large,peripersonal,static,random,env,center,none,no,grasp,no,yes,yes,-22.758629,-9.964335,grey
Phasmophobia,September 2020,Steam,https://youtu.be/UPIaaffVLL0?t=901 ,8. Selecting from a far menu UI by pointing,yes,accuracy,3-9,3-9,yes,text; icons,medium,extrapersonal,static,grid,env,both,none,no,point,yes,yes,yes,26.40205,-2.2444785,green
No Man's Sky,August 2019,Steam; PSVR,https://youtu.be/kPaiML7PNCA?t=21,"1. Point and click to select, followed by pull to confirm",no,accuracy,1-2,3-9,yes,pole,large,extrapersonal,static,random,env,center,minimal,yes,point,yes,yes,yes,5.8428884,13.242167,brown
No Man's Sky,August 2019,Steam; PSVR,https://youtu.be/kPaiML7PNCA?t=382,2. Point on hand-based UI,yes,accuracy,3-9,3-9,yes,icons,small,on-body,moving,grid,hand,both,none,no,point,yes,yes,no,23.15314,-6.3557925,green
No Man's Sky,August 2019,Steam; PSVR,https://youtu.be/kPaiML7PNCA?t=394,3. Mission and map menu,yes,accuracy,3-9,10-19,yes,text; icons,small,extrapersonal,static,random,env,both,none,no,point,yes,yes,no,27.00348,4.696879,green
No Man's Sky,August 2019,Steam; PSVR,https://youtu.be/kPaiML7PNCA?si=eWGxphTK56CV1W6p&t=192,4. Saved games menu and main menu,yes,accuracy,10-19,20+,yes,text; icons,medium,extrapersonal,static,grid,env,center,none,no,point,yes,yes,yes,16.619282,3.9868007,purple
No Man's Sky,August 2019,Steam; PSVR,https://youtu.be/kPaiML7PNCA?si=Zkv322-VHXSKcFbY&t=62,5. Grabbing space ship controls,no,accuracy,1-2,1-2,yes,side stick,medium,peripersonal,static,random,env,periphery,heavy,yes,grasp,no,yes,no,-32.835835,-9.395153,grey
No Man's Sky,August 2019,Steam; PSVR,https://youtu.be/3TF0F-A3qF4?si=zyan0vxZgXpNtzek&t=104,6. Tapping on the hand-based UI,yes,accuracy,10-19,20+,yes,icon,small,on-body,moving,grid,hand,both,none,no,touch,yes,yes,no,-4.5669365,52.41387,yellow
No Man's Sky,August 2019,Steam; PSVR,https://youtu.be/3TF0F-A3qF4?si=qwFG8lTatwLJ7jnb&t=286,7. Select objects at a distance by pointing with analyzer,no,accuracy,1-2,3-9,no,flower,medium,extrapersonal,static,random,env,both,minimal,no,point,yes,yes,yes,6.4248433,11.2577505,brown
No Man's Sky,August 2019,Steam; PSVR,https://youtu.be/S-Q_Ulc_BFY?si=2Oqxl0xayYuBlpFV&t=423,8. Shooting at enemies,no,accuracy,3-9,10-19,no,drone,medium,extrapersonal,moving,random,env,both,heavy,yes,shoot,no,no,yes,38.32251,8.997875,brown
Microsoft Flight Simulator,Aug 2020,Steam,https://youtu.be/71-HT2XQvlY?t=422,"1. Selecting objects/buttons in cockpit like aircraft controls, gear shift, control pannel buttons, etc",no,accuracy,20+,20+,yes,"switches, buttons, gear shifts, control pannel elements, etc.",small,peripersonal,static,grid,env,both,minimal,no,point,yes,yes,no,10.648376,-9.12713,purple
Microsoft Flight Simulator,Aug 2020,Steam,https://youtu.be/71-HT2XQvlY?t=248,2. Selecting UI elements,yes,accuracy,3-9,3-9,yes,"text, icons",small,extrapersonal,static,grid,env,center,none,no,point,yes,yes,no,26.100037,-3.8831844,green
Elite Dangerous,January 2016,Oculus; Steam,https://youtu.be/TGb2vU1Pffk?si=HpdFORmbscDfvJ51&t=87 ,1. Select a target/direction to orient the space ship towards to follow or to shoot ,no,speed,1-2,3-9,yes,enemy ships,medium,extrapersonal,moving,random,env,center,heavy,yes,point,no,no,yes,4.376759,16.688293,brown
Tabletop Simulator,June 2016,Steam,https://youtu.be/HmZT4UY3Dfo?t=1091,1. Directly grasp objects in the VE,no,accuracy,3-9,20+,no,dice,small,peripersonal,static,random,env,both,none,no,grasp,yes,yes,no,8.646335,-33.330467,cyan
Tabletop Simulator,June 2016,Steam,https://youtu.be/HmZT4UY3Dfo?si=uD_CgXLh7U7C7Gy2&t=260 ,2. Selecting UI elements at a distance,yes,accuracy,10-19,20+,yes,icons,tiny,extrapersonal,static,grid,env,both,none,no,point,yes,yes,no,17.46374,0.821488,purple
Hitman 3,Jan 2021,Steam; PSVR,https://youtu.be/2Sq5HgEZh0E?t=148,1. Grasping objects/pulling body avatars from the VE ,no,accuracy,1-2,1-2,yes,"pickable objects, coin, keys, weapons, etc ",small,peripersonal,static,random,env,center,minimal,yes,grasp,no,yes,yes,-25.473724,-10.851326,grey
Hitman 3,Jan 2021,Steam; PSVR,https://youtu.be/2Sq5HgEZh0E?t=116,2. Rretrieving items from inventory (a white transparent circle attached near the body),no,accuracy,1-2,1-2,yes,"weapon, screw driver, keys, pickable tools, etc.",small,on-body,static,random,body,center,none,yes,grasp,yes,yes,no,-28.522078,-9.58989,grey
Hitman 3,Jan 2021,Steam; PSVR,https://youtu.be/2Sq5HgEZh0E?t=201,3. Select a target avatar to attack,no,equal,1-2,1-2,yes,avatar,large,peripersonal,moving,random,env,center,none,yes,cross,no,yes,yes,-25.109163,-16.966578,grey
Hitman 3,Jan 2021,Steam; PSVR,https://youtu.be/2Sq5HgEZh0E?si=XPB1ZC0tbDy_v6U2&t=233 ,4. Hover over the body with an item to add it to the inventory,no,accuracy,1-2,1-2,yes,body,small,on-body,static,random,body,center,none,yes,touch,yes,yes,no,-15.238257,39.43768,red
Hitman 3,Jan 2021,Steam; PSVR,https://youtu.be/2Sq5HgEZh0E?t=474 ,5. Select objects/avatars to push,no,accuracy,1-2,1-2,yes,avatar or objects,large,peripersonal,static,random,env,center,none,yes,push,yes,yes,yes,-24.006966,13.170121,pink
Hitman 3,Jan 2021,Steam; PSVR,https://youtu.be/2Sq5HgEZh0E?t=567 ,6. Select a target to aim at and shoot,no,equal,1-2,3-9,yes,avatar,large,extrapersonal,moving,random,env,center,minimal,yes,shoot,no,yes,yes,4.651555,21.509212,brown
Inside the Backrooms,June 2022,Steam; Oculus,https://youtu.be/CCc5xfFiz8k?t=130,1. Select objects/items closeby directly from the VE ,no,accuracy,3-9,3-9,no,"talkie walkie, liquid container, piece of paper, nose, other objects and artefacts in the game ",small,peripersonal,static,random,env,center,minimal,yes,touch,yes,yes,yes,1.7739294,45.458427,yellow
Inside the Backrooms,June 2022,Steam; Oculus,https://youtu.be/CCc5xfFiz8k?t=146,2. Select buttons to press (i.e. elevator buttons),yes,accuracy,10-19,10-19,yes,"circular buttons, elevator buttons ",small,peripersonal,static,grid,env,center,none,yes,touch,yes,yes,yes,-5.5285835,49.375122,yellow
Inside the Backrooms,June 2022,Steam; Oculus,https://youtu.be/CCc5xfFiz8k?t=222,3. Point and select objects at a distance,no,accuracy,1-2,3-9,yes,"paper notes, other selectable objects like water bottlels, containers and such",small,extrapersonal,static,random,env,center,minimal,yes,point,yes,yes,yes,7.3218384,12.227045,brown
Inside the Backrooms,June 2022,Steam; Oculus,https://youtu.be/CCc5xfFiz8k?t=466 ,4. Point and Select from a close by head-referenced UI,yes,accuracy,3-9,3-9,yes,"text, images, icons, slider",small,on-body,static,grid,head,center,none,no,point,no,yes,no,22.034916,-8.962763,green
Inside the Backrooms,June 2022,Steam; Oculus,https://youtu.be/CCc5xfFiz8k?t=177 ,5. Select a door to open ,no,accuracy,1-2,1-2,yes,"door, closet door, and such",large,peripersonal,static,random,env,center,none,yes,touch,yes,yes,yes,-13.407416,39.097065,red
Inside the Backrooms,June 2022,Steam; Oculus,https://youtu.be/CCc5xfFiz8k?t=278,6. Select a drawer to open from distance ,no,accuracy,3-9,3-9,yes,drawers,medium,extrapersonal,static,list,env,center,none,no,point,yes,yes,yes,29.502188,-2.9275951,green
Inside the Backrooms,June 2022,Steam; Oculus,https://youtu.be/CCc5xfFiz8k?t=469 ,7. Press selected buttons to input a numerical combination  on a talkie walkie,yes,accuracy,3-9,10-19,yes,"flat numerical buttons, flat functionality buttons for the talkie walkie, other talkie walkie components",small,on-body,static,grid,hand,center,minimal,yes,touch,no,no,no,-1.7139466,52.163654,yellow
Inside the Backrooms,June 2022,Steam; Oculus,https://youtu.be/CCc5xfFiz8k?t=491 ,8. Select part of the body to hover over with an item to consume it,no,accuracy,1-2,1-2,yes,avatar/body of the user,large,on-body,static,random,head,center,none,yes,hover,yes,yes,no,-31.729893,0.8103116,grey
War Robots,Aug 2017,"Steam, Oculus",https://youtu.be/vbC5Tq1KL38?t=132 ,1. chosing a target enemy or area to aim at and shoot,no,equal,1-2,3-9,no,"mechwarrior machines, buildings, aircrafts, spaceships, etc",large,extrapersonal,moving,random,env,center,minimal,yes,shoot,yes,yes,yes,3.3034124,21.235128,brown
Resident Evil Village,February 2023,PSVR,https://youtu.be/t_ywsdznMLk?t=24,1. Select objects directly from the VE (i.e. weapons),no,accuracy,1-2,3-9,yes,knife,small,peripersonal,static,random,env,both,minimal,yes,grasp,yes,yes,yes,-8.65689,-27.043465,orange
Resident Evil Village,February 2023,PSVR,https://youtu.be/t_ywsdznMLk?t=63,2. Select from a UI menu at a distance,yes,accuracy,10-19,20+,yes,text; icons,small,extrapersonal,static,list,env,center,none,no,point,yes,yes,no,17.236471,1.9292233,purple
Resident Evil Village,February 2023,PSVR,https://youtu.be/t_ywsdznMLk?t=158,3. Select a target to aim at and shoot,no,equal,3-9,3-9,no,avatar,large,extrapersonal,moving,random,env,both,heavy,yes,shoot,no,no,yes,37.15672,10.033839,brown
Resident Evil Village,February 2023,PSVR,https://youtu.be/t_ywsdznMLk?t=177,4. Select a target to aim at and throw a knife towards,no,equal,1-2,3-9,no,avatar,large,extrapersonal,moving,random,env,both,minimal,yes,throw,no,no,yes,3.399583,24.114265,brown
Resident Evil Village,February 2023,PSVR,https://youtu.be/t_ywsdznMLk?t=199,5. Select tools/weapons from on-body inventory,no,equal,3-9,3-9,yes,weapon,medium,on-body,static,random,body,periphery,heavy,yes,grasp,no,yes,no,18.931025,-33.007366,cyan
Resident Evil Village,February 2023,PSVR,https://youtu.be/t_ywsdznMLk?t=316,6. Select an areaa on an avatar/enemy to land a punch,no,equal,1-2,3-9,no,avatar,large,peripersonal,moving,random,env,both,minimal,yes,cross,no,yes,yes,-15.41501,-28.755291,orange
Resident Evil Village,February 2023,PSVR,https://youtu.be/IXu1CnfoY3o?t=1647,7. Select objects from the VE to collect/pickup from a close distance,no,equal,3-9,3-9,no,ammo,small,peripersonal,static,random,env,both,minimal,no,point,yes,yes,yes,19.936481,-20.203892,green
Resident Evil Village,February 2023,PSVR,https://youtu.be/IXu1CnfoY3o?t=165,8. Select targets to destroy (i.e. slicing boxes),no,speed,1-2,3-9,no,box,large,peripersonal,static,random,env,both,minimal,yes,push,no,yes,yes,0.5460123,13.655749,brown
Resident Evil Village,February 2023,PSVR,https://youtu.be/IXu1CnfoY3o?t=1493,9. Select a map to pick up from the body,no,speed,1-2,1-2,yes,map,small,on-body,static,random,body,periphery,heavy,yes,grasp,no,yes,no,-32.90431,-11.376463,grey
Escape the Backrooms,Aug 2022,Steam,https://youtu.be/qRj2FxKfyqo?t=339 ,1. Select objects to collect directly from the VE ,no,accuracy,1-2,3-9,yes,"ladder wood parts, parts of a cord, torch, keys, etc.",small,peripersonal,static,random,env,center,none,yes,grasp,no,yes,yes,-9.934623,-25.354498,orange
Escape the Backrooms,Aug 2022,Steam,https://youtu.be/qRj2FxKfyqo?t=380 ,2. Open a selected door,no,accuracy,1-2,1-2,yes,"room or ally door, closet door, etc",large,peripersonal,static,random,env,center,none,yes,push,no,yes,yes,-24.281704,13.097412,pink
Escape the Backrooms,Aug 2022,Steam,https://youtu.be/qRj2FxKfyqo?si=Lsc5k2EU1cAzF40Q&t=566 ,4. UI Menu/Inventory where you can select using raycast,yes,accuracy,3-9,10-19,yes,"objects, selectables and tools within a UI inventory, and also buttons within the UI itself",small,extrapersonal,static,grid,env,center,none,no,point,no,yes,no,24.840456,5.881005,green
Escape the Backrooms,Aug 2022,Steam,https://youtu.be/qRj2FxKfyqo?t=630 ,5. Select buttons/entries on a card reader door UI.,yes,accuracy,10-19,10-19,yes,"numerical and colored buttons, car reader and door lock buttons",small,peripersonal,static,grid,env,center,none,no,point,no,yes,no,10.574562,-4.4905,purple
Escape the Backrooms,Aug 2022,Steam,https://youtu.be/qRj2FxKfyqo?t=654 ,6. Select an elevator button to press ,no,accuracy,1-2,3-9,yes,"elevator buttons, floor buttons and other elevator functionality buttons",small,peripersonal,static,list,env,center,none,yes,touch,no,yes,yes,-1.5317847,37.97779,yellow
Escape the Backrooms,Aug 2022,Steam,https://youtu.be/qRj2FxKfyqo?t=812 ,7. Select a place or whole to push a key through,no,accuracy,1-2,1-2,yes,key holder for a lock,small,peripersonal,static,random,env,center,none,yes,push,no,yes,yes,-22.331484,11.006004,pink
Devour,July 2022,Steam,https://youtu.be/SOn1teeApmY?t=55 ,1. Selecting from a UI at a distance,yes,accuracy,3-9,10-19,yes,"text, icons, UI flat buttons, and such",medium,extrapersonal,static,grid,env,center,none,no,point,yes,yes,yes,23.34834,4.8746495,green
Devour,July 2022,Steam,https://youtu.be/SOn1teeApmY?si=H_eQ3EdwPTE1qRMp&t=900 ,2. Select a target enemy to point to with a cone volume UV light to kill or slow down,no,accuracy,1-2,3-9,yes,"outdoor areas, inside the house areas, allies, monsters, sheep, selectable objects",large,extrapersonal,moving,random,env,center,minimal,yes,point,no,yes,yes,5.805619,14.35055,brown
Devour,July 2022,Steam,https://youtu.be/SOn1teeApmY?t=269 ,3. Grasping objects from the VE,no,accuracy,1-2,3-9,yes,"stack of hay, gazoline containers, sheep, etc",medium,peripersonal,static,random,env,center,none,yes,grasp,yes,yes,yes,-10.648171,-24.710447,orange
Devour,July 2022,Steam,https://youtu.be/SOn1teeApmY?t=722 ,4. Select a door or cabinet/drawer to open or close,no,accuracy,1-2,1-2,yes,"door knob, cabinet handle, etc",large,peripersonal,static,random,env,center,none,yes,grasp,no,yes,yes,-22.154785,-10.051181,grey
Devour,July 2022,Steam,https://youtu.be/SOn1teeApmY?t=1285 ,5. Select an ally to hover over with a medkit to resurect them/regenerate their health.,no,accuracy,1-2,1-2,yes,"avatar, fire bowl, etc",large,peripersonal,static,random,env,center,none,yes,hover,yes,yes,yes,-22.043585,-7.913765,grey
DCS World Steam Edition,March 2018,Steam,https://youtu.be/eiUVQhcdkpo?t=252,"1. Point to select and use cockpit control elements, buttons, gears, switches, etc",no,accuracy,10-19,20+,yes,"gear shifters, buttons, switches, window rollers, pilot cockpit control components",small,peripersonal,static,grid,env,both,minimal,no,point,yes,yes,no,10.105676,-9.118971,purple
DCS World Steam Edition,March 2018,Steam,https://youtu.be/eiUVQhcdkpo?t=39,2. Selecting from a close UI to the pilot,yes,accuracy,20+,20+,yes,"text, icons, flat buttons",small,peripersonal,static,grid,env,center,none,no,point,yes,yes,no,12.833637,-7.3608017,purple
DCS World Steam Edition,March 2018,Steam,https://youtu.be/eiUVQhcdkpo?t=34,"3. Grasp objects directly in the VE (i.e. an aircraft control gear, other elements close by to the pilot within the aircraft)",no,accuracy,3-9,10-19,yes,"gear shifters, switches, window rollers, pilot cockpit control components that are near the hand of the pilot",small,peripersonal,static,grid,env,both,none,yes,grasp,yes,yes,no,5.2608786,-25.264738,blue
DCS World Steam Edition,March 2018,Steam,https://youtu.be/EMYXwZFhe88?t=651 ,4. Aiming at selected enemies or an area to shoot at,no,equal,1-2,3-9,yes,"planes, bunkers, area",large,extrapersonal,moving,random,env,center,minimal,yes,shoot,no,yes,no,4.7856193,21.013922,brown
REC Room,June 2016,Steam; Oculus; PSVR,https://youtu.be/nK1WOUiwiF4?t=363 ,1. Grasp objects directly from the VE,no,speed,1-2,10-19,yes,"flag, balls, dress, shield, food, containers, etc.",medium,peripersonal,static,random,env,center,none,yes,grasp,yes,yes,yes,-18.914509,-9.124974,grey
REC Room,June 2016,Steam; Oculus; PSVR,https://youtu.be/nK1WOUiwiF4?t=67 ,2. Grasp a hand for greeting other players,no,accuracy,1-2,1-2,yes,other player hands,small,peripersonal,static,random,env,center,none,yes,grasp,yes,yes,yes,-26.107872,-9.443933,grey
REC Room,June 2016,Steam; Oculus; PSVR,https://youtu.be/nK1WOUiwiF4?t=94 ,3. Select an object  in the air to catch,no,accuracy,1-2,1-2,yes,"basketball, pizza slice, etc",medium,peripersonal,moving,random,env,center,none,yes,catch,no,yes,yes,-25.68477,-15.556914,grey
REC Room,June 2016,Steam; Oculus; PSVR,https://youtu.be/nK1WOUiwiF4?t=108 ,4. Select a part of the body to touch with food to consume it (i.e. mouth),no,accuracy,1-2,1-2,yes,avatar head,medium,on-body,static,random,head,center,none,yes,touch,no,yes,no,-17.127928,43.998882,red
REC Room,June 2016,Steam; Oculus; PSVR,https://youtu.be/nK1WOUiwiF4?t=309 ,5. Throw selected objects towards selected targets or area ,no,accuracy,1-2,3-9,no,avatar,medium,extrapersonal,static,random,env,center,none,yes,throw,no,yes,yes,2.8240345,26.620275,brown
REC Room,June 2016,Steam; Oculus; PSVR,https://youtu.be/nK1WOUiwiF4?t=221 ,6. Select from a closeby UI by pressing buttons,yes,accuracy,10-19,20+,yes,"text, icons, buttons, etc",small,peripersonal,static,grid,env,center,none,no,push,yes,yes,yes,9.160259,-4.346173,purple
REC Room,June 2016,Steam; Oculus; PSVR,https://youtu.be/nK1WOUiwiF4?t=289 ,7. Select a target to aim at and shoot ,no,equal,1-2,3-9,yes,"avatar, area, etc",large,extrapersonal,moving,random,env,center,minimal,yes,shoot,no,yes,yes,4.6515617,21.509748,brown
REC Room,June 2016,Steam; Oculus; PSVR,https://youtu.be/nK1WOUiwiF4?t=1157 ,8. selecting an object at a distance (i.e. closed shelf) and when selected the objects are displayed in a circular format. ,no,accuracy,3-9,10-19,yes,"drawers, cabinets, etc",medium,extrapersonal,static,grid,env,center,none,no,point,yes,yes,yes,23.080683,4.5207157,green
REC Room,June 2016,Steam; Oculus; PSVR,https://youtu.be/nK1WOUiwiF4?t=637 ,9. Selecting a body area to put an object or wearable on,no,accuracy,1-2,3-9,yes,parts of the avatar where the object would be placed,small,on-body,static,random,head,center,none,yes,touch,yes,yes,no,-1.1321069,36.517693,yellow
REC Room,June 2016,Steam; Oculus; PSVR,https://youtu.be/nK1WOUiwiF4?t=643 ,10. Selecting from on hand UI,yes,accuracy,10-19,20+,yes,"text, icons, buttons, etc",small,on-body,static,grid,hand,center,none,yes,push,yes,yes,no,14.397661,-2.5413268,purple
REC Room,June 2016,Steam; Oculus; PSVR,https://youtu.be/nK1WOUiwiF4?t=638 ,11. Point to objects at a distance,no,accuracy,3-9,10-19,yes,"shelves, drawers, doors/cabinets and other objects",medium,extrapersonal,static,random,env,both,none,no,push,yes,yes,yes,28.141394,4.8345723,green
REC Room,June 2016,Steam; Oculus; PSVR,https://youtu.be/nK1WOUiwiF4?t=1048 ,12. Selecting from a UI at a distance,yes,accuracy,1-2,1-2,yes,"text, icons, and UI buttons",small,extrapersonal,static,random,env,center,none,no,point,no,yes,yes,-16.518044,7.5443153,pink
Golf It!,February 2017,Steam,https://youtu.be/CT5wMo6Spf4?t=39,1. Selecting Items on a menu,yes,accuracy,3-9,10-19,yes,"text, icons, images",medium,extrapersonal,static,grid,env,center,none,no,point,yes,yes,yes,23.347025,4.87485,green
Golf It!,February 2017,Steam,https://youtu.be/CT5wMo6Spf4?t=73,2. Hit a golf ball ,no,equal,1-2,1-2,yes,"golf ball, mini golf ball",small,peripersonal,static,random,env,center,none,yes,cross,yes,yes,yes,-26.352608,-13.004728,grey
Derail Valley,January 2019,Steam,https://youtu.be/fjks0MAVAQ4?t=191 ,1. Selecting objects from a distance,no,accuracy,1-2,3-9,yes,"paper, shovel, lighter, tools, etc",small,extrapersonal,static,random,env,both,minimal,no,point,yes,yes,yes,7.53924,11.451234,purple
Derail Valley,January 2019,Steam,https://youtu.be/fjks0MAVAQ4?t=51 ,2. Pressing buttons,no,accuracy,3-9,3-9,no,buttons,small,peripersonal,static,list,env,center,none,yes,push,no,yes,yes,18.268448,-16.03045,green
Derail Valley,January 2019,Steam,https://youtu.be/fjks0MAVAQ4?t=96,3. Selecting through a UI in game menu or inventory,yes,accuracy,10-19,10-19,yes,"text, icons, cubic icons ",small,peripersonal,static,grid,env,center,none,yes,hover,yes,yes,no,-4.284363,-12.560687,blue
Derail Valley,January 2019,Steam,https://youtu.be/fjks0MAVAQ4?t=166 ,4. Selecting objects using a tool like a shovel,no,equal,1-2,1-2,yes,"rocks, charbon, and similar",small,extrapersonal,static,random,env,center,minimal,yes,cross,no,yes,yes,-30.775698,-14.053046,grey
Derail Valley,January 2019,Steam,https://youtu.be/fjks0MAVAQ4?t=217 ,5. Throw objects at locations,no,accuracy,1-2,1-2,yes,"area, charbon filled area, etc",medium,extrapersonal,static,random,env,center,minimal,yes,throw,yes,yes,yes,-14.810486,34.326843,red
Derail Valley,January 2019,Steam,https://youtu.be/fjks0MAVAQ4?t=249 ,6. Rotate a grasped wheel,no,accuracy,1-2,1-2,yes,"wheels, handles, cords, doors, cabinets, etc.",medium,peripersonal,static,random,env,both,none,yes,push,no,yes,yes,-24.186924,11.442354,pink
Derail Valley,January 2019,Steam,https://youtu.be/fjks0MAVAQ4?t=158 ,7. Selecting objects using grasp,no,accuracy,1-2,3-9,yes,"shovel, bar, paper, lighter etc",medium,peripersonal,static,random,env,center,minimal,yes,grasp,no,yes,yes,-11.522572,-26.226948,orange
Swordsman VR,September 2020,Steam; Oculus; PSVR,https://youtu.be/F2iriqT40eg?t=209,1. Game settings UI,yes,accuracy,3-9,20+,yes,text; icons,small,peripersonal,static,grid,env,both,none,no,point,yes,yes,yes,13.550406,-9.594,green
Swordsman VR,September 2020,Steam; Oculus; PSVR,https://youtu.be/F2iriqT40eg?t=32,2. Head-referenced UI that follows user's head,yes,accuracy,1-2,1-2,yes,text,small,on-body,static,grid,head,center,none,no,point,yes,yes,no,11.848959,-1.4658715,purple
Swordsman VR,September 2020,Steam; Oculus; PSVR,https://youtu.be/F2iriqT40eg?t=83,3. Attacking enemy avatar with sword,no,equal,1-2,3-9,no,avatar,large,peripersonal,moving,random,env,both,minimal,yes,cross,no,yes,yes,-15.415333,-28.755188,orange
Batman: Arkham VR,April 2017,Steam; Oculus; PSVR,https://youtu.be/g0zBx1KiUU0?t=235,1. Directly picking up items in environment,no,equal,3-9,3-9,no,card,small,peripersonal,static,random,env,both,minimal,yes,grasp,no,yes,yes,12.858157,-33.020393,cyan
Batman: Arkham VR,April 2017,Steam; Oculus; PSVR,https://youtu.be/g0zBx1KiUU0?t=334,2. Inserting items into slots,no,equal,1-2,3-9,no,box,medium,peripersonal,static,random,env,both,minimal,yes,manipulate,no,yes,yes,1.1695207,8.67156,orange
Batman: Arkham VR,April 2017,Steam; Oculus; PSVR,https://youtu.be/g0zBx1KiUU0?t=374,3. Pull manipulable items to rotate/open/translate them,no,equal,1-2,1-2,yes,cover,medium,peripersonal,static,random,env,both,none,yes,manipulate,no,yes,yes,-23.560806,-0.7069064,pink
Batman: Arkham VR,April 2017,Steam; Oculus; PSVR,https://youtu.be/g0zBx1KiUU0?t=499,4. Pushing piano keys (and buttons),no,accuracy,20+,20+,yes,piano key,small,peripersonal,static,grid,env,both,none,yes,push,no,yes,yes,15.472649,-14.059473,green
Batman: Arkham VR,April 2017,Steam; Oculus; PSVR,https://youtu.be/g0zBx1KiUU0?t=635,6. Grabbing tools from on-body slots,no,equal,1-2,3-9,yes,tool,medium,on-body,static,circular,body,periphery,heavy,yes,grasp,yes,yes,no,1.1808622,-18.065857,blue
Batman: Arkham VR,April 2017,Steam; Oculus; PSVR,https://youtu.be/g0zBx1KiUU0?t=637,7. Throwing items at targets,no,accuracy,3-9,3-9,no,avatar,medium,extrapersonal,moving,random,env,center,minimal,yes,throw,no,no,no,35.527565,12.545296,brown
Batman: Arkham VR,April 2017,Steam; Oculus; PSVR,https://youtu.be/g0zBx1KiUU0?t=1043,8. Aiming a pull gun at objects in distance ,no,accuracy,1-2,1-2,yes,icon,medium,extrapersonal,static,random,env,center,none,no,point,yes,yes,no,-16.226055,6.060986,pink
Batman: Arkham VR,April 2017,Steam; Oculus; PSVR,https://youtu.be/g0zBx1KiUU0?t=1135,9. Rotate the FM radar to select a different radio station,no,accuracy,3-9,3-9,no,orientation,medium,peripersonal,static,circular,env,center,none,yes,manipulate,no,yes,no,13.1823435,-19.187164,blue
Batman: Arkham VR,April 2017,Steam; Oculus; PSVR,https://youtu.be/g0zBx1KiUU0?t=1214,10. Touch a flat UI display to select an item,yes,accuracy,3-9,3-9,yes,icon,medium,peripersonal,static,grid,env,both,none,yes,touch,yes,yes,yes,0.16533926,49.83552,yellow
Batman: Arkham VR,April 2017,Steam; Oculus; PSVR,https://youtu.be/g0zBx1KiUU0?t=1715,11. Pressing a physical button to select a vehicle,no,accuracy,3-9,3-9,yes,button,medium,peripersonal,static,grid,env,both,none,yes,push,no,yes,yes,17.402058,-14.87347,green
Batman: Arkham VR,April 2017,Steam; Oculus; PSVR,https://youtu.be/g0zBx1KiUU0?t=1887,12. Hover over a point of interest to reveal more information,no,accuracy,1-2,1-2,yes,avatar,large,extrapersonal,static,random,env,center,minimal,yes,point,yes,yes,no,-15.900595,5.0316916,pink
